created_at,days_registered,favourites_count,followers_count,friends_count,listed_count,name,screen_name,statuses_count
2009-06-21 20:13:18+00:00,3353,39830,122146,133485,3758,Obscured Name,randal_olson,18396
2007-01-05 00:37:53+00:00,4251,2412,95972,8361,488,Obscured Name,gr33ndata,62475
2015-02-04 22:35:11+00:00,1299,13337,42112,17917,1964,Obscured Name,odsc,32936
2012-08-11 03:23:37+00:00,2206,1631,30851,564,956,Obscured Name,PyData,5709
2011-10-25 15:18:43+00:00,2497,6130,29473,2415,1218,Obscured Name,anacondainc,8003
2015-01-26 03:21:16+00:00,1308,1816,27561,101,689,Obscured Name,fullstackpython,3714
2008-08-31 14:51:19+00:00,3647,2759,24151,2087,1321,Obscured Name,ogrisel,12619
2009-04-17 20:04:57+00:00,3418,1629,19962,493,776,Obscured Name,teoliphant,4006
2010-02-08 07:01:42+00:00,3121,1080,19642,22338,247,Obscured Name,jirallumin,57281
2014-12-19 00:44:24+00:00,1346,48,19033,24941,227,Obscured Name,ICOexchange,976
2011-01-30 16:28:09+00:00,2765,6799,17936,544,760,Obscured Name,fperez_org,7114
2014-09-30 08:06:00+00:00,1426,938,17017,709,503,Obscured Name,importpython,4641
2013-07-24 13:22:20+00:00,1859,835,16186,889,220,Obscured Name,GitHubCommunity,794
2007-08-27 22:12:02+00:00,4017,8191,15025,1080,692,Obscured Name,pwang,12903
2012-04-25 04:54:41+00:00,2314,51353,13664,7463,390,Obscured Name,Dilmerv,24566
2010-08-18 13:21:12+00:00,2930,2218,12853,1509,282,Obscured Name,ULBruxelles,6011
2009-06-04 05:26:15+00:00,3370,1437,11910,1395,347,Obscured Name,CrossrefOrg,5097
2011-09-09 00:03:24+00:00,2543,2145,11422,207,549,Obscured Name,GaelVaroquaux,3864
2007-05-06 17:34:46+00:00,4130,7401,11270,7609,1547,Obscured Name,AjitJaokar,32686
2010-07-23 15:15:39+00:00,2956,5062,11159,1170,633,Obscured Name,lanyrd,920
2007-08-12 11:51:51+00:00,4032,2497,10834,11797,1172,Obscured Name,javiergodoy,9900
2013-06-17 15:44:23+00:00,1896,221,10345,10082,287,Obscured Name,expertmodels,356
2013-01-07 18:32:45+00:00,2057,5097,10211,952,377,Obscured Name,NumFOCUS,7289
2011-09-25 19:48:13+00:00,2527,6151,10107,1127,519,Obscured Name,twiecki,5535
2008-03-01 21:45:12+00:00,3830,15697,9485,7868,604,Obscured Name,pacoid,15606
2013-01-31 22:38:54+00:00,2033,9762,7591,1599,928,Obscured Name,CallbackWomen,25706
2012-12-03 18:35:23+00:00,2092,754,7538,1044,281,Obscured Name,SciPyConf,2299
2010-06-03 16:38:26+00:00,3006,631,7445,2289,278,Obscured Name,smdiehl,10405
2009-10-11 10:38:43+00:00,3241,205,7296,1069,89,Obscured Name,hide_tsubo,9594
2008-07-25 06:01:00+00:00,3684,30804,7194,1188,259,Obscured Name,holdenkarau,15740
2013-07-29 02:09:14+00:00,1854,3978,7035,1375,333,Obscured Name,masquesig,12520
2007-03-31 17:33:26+00:00,4166,331,6298,646,115,Obscured Name,Aroussi,2669
2014-06-07 15:02:18+00:00,1541,390,6247,4861,222,Obscured Name,practicalswift,895
2014-06-20 05:41:31+00:00,1528,1442,6049,627,228,Obscured Name,DataSkeptic,1738
2013-04-17 03:48:20+00:00,1957,108,5989,467,182,Obscured Name,dontusethiscode,2928
2009-04-27 20:13:38+00:00,3408,1010,5772,4204,342,Obscured Name,enthought,2509
2010-04-23 15:05:26+00:00,3047,2205,5607,3902,214,Obscured Name,SoftwareSaved,5235
2007-01-23 15:01:41+00:00,4233,23072,5596,3073,422,Obscured Name,teabass,41351
2013-06-14 11:09:21+00:00,1899,19,5455,637,206,Obscured Name,rpf_weekly,3210
2008-07-26 20:29:16+00:00,3683,94,5418,1233,192,Obscured Name,mhallsmoore,2531
2009-03-09 20:52:52+00:00,3457,7535,5188,1677,251,Obscured Name,turicas,6384
2013-04-08 18:51:10+00:00,1966,2959,5127,312,269,Obscured Name,AllenDowney,3437
2010-12-04 11:26:43+00:00,2822,11067,4990,3534,297,Obscured Name,rmounce,28486
2009-09-06 13:08:37+00:00,3276,1775,4822,1034,216,Obscured Name,glouppe,3199
2011-07-07 21:04:05+00:00,2607,8601,4584,1858,208,Obscured Name,DevilleSy,25526
2011-05-17 20:42:24+00:00,2658,3137,4583,1465,67,Obscured Name,benthebray,4480
2008-01-03 09:10:22+00:00,3888,507,4575,797,482,Obscured Name,dyjh,4234
2009-09-18 16:44:56+00:00,3264,3878,4567,719,211,Obscured Name,Parleys,1470
2015-01-13 10:55:46+00:00,1321,4515,4549,4933,243,Obscured Name,CoderGirlsRock,5294
2008-09-13 07:21:29+00:00,3634,1115,4528,972,130,Obscured Name,aterrel,5666
2008-09-14 03:22:28+00:00,3633,1131,4473,287,136,Obscured Name,datablasters,1115
2011-10-09 16:48:05+00:00,2513,63,4461,4552,629,Obscured Name,PostMobileTech,12622
2007-07-26 16:12:14+00:00,4049,1886,4398,852,243,Obscured Name,agramfort,1426
2013-01-15 16:05:48+00:00,2049,2275,4339,827,144,Obscured Name,hugobowne,2352
2012-04-13 19:35:07+00:00,2326,8195,4324,755,311,Obscured Name,Pybonacci,14545
2012-02-08 20:35:17+00:00,2391,2511,4305,478,194,Obscured Name,Deep_Hub,1903
2012-10-22 00:00:44+00:00,2134,0,4179,1608,793,Obscured Name,StephenPiment,39622
2018-03-22 00:26:57+00:00,157,26903,4153,5238,0,Obscured Name,3rdEyeCartoons,77
2009-05-05 18:50:47+00:00,3400,14666,4150,2966,338,Obscured Name,kirstie_j,33232
2013-02-10 21:44:44+00:00,2023,36127,4113,2934,240,Obscured Name,WillingCarol,10039
2009-02-24 16:19:42+00:00,3470,6910,3985,2537,222,Obscured Name,loooorenanicole,6870
2011-09-28 17:56:38+00:00,2524,5169,3890,3047,1438,Obscured Name,horstwilmes,30348
2008-07-10 07:36:50+00:00,3699,2385,3857,724,165,Obscured Name,japh44,1173
2009-06-21 15:42:51+00:00,3353,43240,3856,2748,404,Obscured Name,gawbul,39936
2008-10-18 12:09:35+00:00,3599,1423,3757,928,427,Obscured Name,mariapage,24764
2016-06-07 09:35:39+00:00,810,932,3677,2186,216,Obscured Name,learnr_research,2281
2007-03-28 14:15:10+00:00,4169,1096,3601,2731,308,Obscured Name,dump,17765
2008-07-14 04:48:23+00:00,3695,138,3578,116,147,Obscured Name,minrk,5458
2008-06-04 18:42:06+00:00,3735,1654,3538,496,336,Obscured Name,bgoncalves,12854
2016-06-09 15:54:16+00:00,808,29756,3480,1028,79,Obscured Name,dingding_peng,10519
2009-02-17 15:31:15+00:00,3477,2389,3474,393,188,Obscured Name,PythonIreland,4807
2008-01-06 06:23:29+00:00,3885,3144,3462,3918,135,Obscured Name,mapologo,20254
2009-04-09 00:32:53+00:00,3426,3135,3390,4803,100,Obscured Name,osamuyi,16505
2012-10-18 12:26:29+00:00,2138,1735,3347,173,167,Obscured Name,Mbussonn,5603
2013-12-13 17:04:10+00:00,1717,706,3335,523,212,Obscured Name,komodoide,3438
2009-01-02 20:43:24+00:00,3523,1320,3332,893,118,Obscured Name,artgoldhammer,4339
2009-02-23 08:21:35+00:00,3471,950,3290,680,326,Obscured Name,DigNeurosurgeon,7200
2010-01-23 17:36:03+00:00,3137,7952,3286,2955,246,Obscured Name,judywawira,11629
2007-12-11 11:57:47+00:00,3911,112059,3192,2677,459,Obscured Name,VolkerGoebbels,170321
2009-02-05 11:14:13+00:00,3489,810,3085,2201,145,Obscured Name,johnpoverington,4514
2015-03-01 15:48:00+00:00,1274,0,3080,97,333,Obscured Name,cool_python,31419
2009-02-04 08:57:46+00:00,3490,6585,2950,3276,75,Obscured Name,sandcurves,4952
2009-05-20 15:55:14+00:00,3385,6666,2947,1593,161,Obscured Name,GeertHub,7357
2011-12-10 21:21:41+00:00,2451,13806,2857,4656,123,Obscured Name,MysteriousDrBex,8999
2008-11-01 22:46:07+00:00,3585,1801,2851,604,123,Obscured Name,stefanvdwalt,3081
2009-06-30 21:20:38+00:00,3344,572,2815,797,75,Obscured Name,pyconar,1808
2008-09-30 21:15:19+00:00,3617,646,2729,1066,179,Obscured Name,barrysmyth,10701
2008-05-08 08:56:37+00:00,3762,6640,2679,1912,381,Obscured Name,alexip,11937
2011-01-27 15:55:54+00:00,2768,6910,2579,1438,110,Obscured Name,kastnerkyle,4421
2009-11-22 19:33:06+00:00,3199,689,2432,2643,83,Obscured Name,fabtar,1716
2014-06-30 10:40:17+00:00,1518,47,2416,2464,188,Obscured Name,bigdata_insider,1000
2011-06-26 07:30:09+00:00,2618,24569,2405,1636,142,Obscured Name,drvinceknight,12079
2009-04-28 02:01:39+00:00,3407,104,2398,4377,470,Obscured Name,_seraph1,13961
2011-04-09 22:14:28+00:00,2696,5209,2394,4996,97,Obscured Name,DMontesG,11143
2012-06-05 20:01:20+00:00,2273,452,2331,243,111,Obscured Name,quantatrisk,825
2009-07-26 14:06:53+00:00,3318,1333,2285,751,161,Obscured Name,noufalibrahim,1127
2009-06-18 16:05:26+00:00,3356,85291,2273,4999,192,Obscured Name,WojciechM,154697
2010-11-04 02:10:55+00:00,2852,401,2270,2091,276,Obscured Name,msabierto,5328
2011-09-28 04:03:49+00:00,2524,392,2258,532,53,Obscured Name,gregcaporaso,623
2009-04-12 01:37:15+00:00,3423,2188,2226,739,119,Obscured Name,astrofrog,4530
2007-11-20 10:56:09+00:00,3932,2773,2192,1699,156,Obscured Name,msbentley,7751
2007-12-16 18:58:10+00:00,3906,313,2114,3921,1059,Obscured Name,zeekayinfo3,20805
2012-05-17 22:01:13+00:00,2292,3171,2090,566,102,Obscured Name,hendorf,1793
2008-02-07 12:32:17+00:00,3853,12375,2087,2387,192,Obscured Name,Springcoil,13699
2011-09-17 16:06:36+00:00,2535,3391,2034,1900,77,Obscured Name,es_arman,2007
2009-01-11 22:09:34+00:00,3514,6722,2028,1191,136,Obscured Name,betatim,8705
2009-04-13 19:38:23+00:00,3422,1662,1928,434,131,Obscured Name,dnouri,4071
2009-02-25 17:00:45+00:00,3469,233124,1926,2381,187,Obscured Name,georgebernhard,102856
2015-05-18 14:41:45+00:00,1196,77,1913,369,196,Obscured Name,ManAHLTech,2273
2010-02-07 23:20:15+00:00,3122,741,1907,404,69,Obscured Name,bendemartino,2006
2013-04-28 21:10:31+00:00,1946,14632,1904,4996,1335,Obscured Name,Juan_A_Lleo,17781
2011-05-02 12:15:40+00:00,2673,21128,1899,1757,72,Obscured Name,chrshmmmr,3617
2009-06-10 23:23:26+00:00,3364,353,1862,1894,92,Obscured Name,_wilfredh,7218
2012-11-16 16:07:40+00:00,2109,1712,1857,1688,655,Obscured Name,born2data,7564
2010-01-09 14:47:50+00:00,3151,7923,1854,2291,155,Obscured Name,iktakahiro,25008
2008-05-03 12:55:25+00:00,3767,1910,1843,339,95,Obscured Name,pyconit,1787
2008-02-13 18:00:36+00:00,3847,7909,1826,2506,107,Obscured Name,snim2,16830
2011-05-16 07:24:57+00:00,2659,4733,1802,2130,199,Obscured Name,MalickLingani,4090
2012-09-28 07:43:49+00:00,2158,3171,1801,3011,193,Obscured Name,heluc,7377
2009-07-10 06:23:06+00:00,3334,18364,1735,4511,218,Obscured Name,pvergain,13674
2008-02-27 12:43:36+00:00,3833,1000,1730,892,141,Obscured Name,aysunakarsu,1871
2009-06-30 14:46:02+00:00,3344,17612,1703,873,78,Obscured Name,robsmallshire,13117
2007-07-31 08:13:13+00:00,4044,328,1691,905,111,Obscured Name,ironico,1320
2014-02-18 10:23:22+00:00,1650,4636,1689,772,179,Obscured Name,danilobzdok,4515
2011-06-13 19:23:58+00:00,2631,2368,1687,2520,252,Obscured Name,lucpappalard,3558
2010-09-14 08:11:08+00:00,2903,72,1682,774,68,Obscured Name,drcjar,4747
2009-03-12 13:12:36+00:00,3454,419,1677,2026,258,Obscured Name,rdorgueil,2642
2011-12-29 15:43:34+00:00,2432,0,1664,314,45,Obscured Name,Vincent_Lab,571
2012-05-23 06:44:37+00:00,2286,119,1660,352,2,Obscured Name,himanshux101,291
2010-10-20 21:25:39+00:00,2867,492,1617,493,67,Obscured Name,PyConDE,872
2007-12-14 09:02:33+00:00,3908,3352,1616,2035,168,Obscured Name,brendam,11602
2009-04-10 04:57:53+00:00,3425,2661,1606,1863,108,Obscured Name,MarcosCarreira,6344
2012-04-20 09:37:25+00:00,2319,377,1600,3714,21,Obscured Name,ajayjha99,792
2012-03-19 22:07:57+00:00,2351,8203,1584,4988,42,Obscured Name,soy_fan_de_alan,11366
2011-04-21 09:24:37+00:00,2684,3735,1570,688,60,Obscured Name,SylvainCorlay,1680
2008-04-13 13:05:06+00:00,3787,2060,1564,1020,132,Obscured Name,matrixise,9357
2009-06-08 04:53:37+00:00,3366,890,1558,596,39,Obscured Name,larsyencken,2951
2017-02-20 00:06:05+00:00,552,370,1558,4220,110,Obscured Name,OptimizingMind,1873
2009-01-26 16:44:29+00:00,3499,37149,1557,3099,220,Obscured Name,alabarga,10001
2008-08-03 04:11:35+00:00,3675,7576,1545,4996,578,Obscured Name,mourdok,27269
2010-02-02 16:44:17+00:00,3127,2466,1542,915,108,Obscured Name,machinalis,1251
2010-03-26 19:20:29+00:00,3075,1262,1539,1080,38,Obscured Name,cutlersr,1212
2014-01-02 08:58:35+00:00,1697,24295,1525,3322,291,Obscured Name,PMZepto,12245
2015-06-18 16:45:15+00:00,1165,205,1518,74,79,Obscured Name,PyDelhi,865
2011-08-30 18:30:13+00:00,2553,289,1517,428,87,Obscured Name,EGouillart,1128
2013-04-17 20:55:25+00:00,1957,21042,1516,2104,57,Obscured Name,yara_elena,7724
2011-01-26 05:03:15+00:00,2769,86070,1514,871,69,Obscured Name,abigailStev,17586
2011-02-26 12:35:00+00:00,2738,26607,1504,951,167,Obscured Name,HelinaT,19162
2015-01-27 03:37:52+00:00,1307,1461,1484,2753,226,Obscured Name,Thomas_Roca,3500
2015-05-22 19:39:47+00:00,1192,191,1467,300,63,Obscured Name,PyLadiesRemote,604
2011-07-02 14:05:06+00:00,2612,283,1466,180,93,Obscured Name,pyacademy,676
2007-04-13 02:58:22+00:00,4153,2549,1464,3655,86,Obscured Name,JoshNursing,9925
2012-07-19 07:41:30+00:00,2229,6631,1429,4013,108,Obscured Name,Imaculate3,1506
2007-03-23 12:45:17+00:00,4174,16801,1426,1979,125,Obscured Name,MagicHerb,40364
2014-12-03 22:00:16+00:00,1362,164,1426,1852,185,Obscured Name,stat4decision,1118
2009-04-23 20:21:03+00:00,3412,3639,1415,2138,99,Obscured Name,jlehtoma,7915
2008-05-27 05:41:36+00:00,3743,2660,1414,1426,213,Obscured Name,onyame,5412
2008-03-24 04:56:09+00:00,3807,2019,1411,3392,239,Obscured Name,mcarrasco,21865
2008-07-09 23:24:37+00:00,3700,19550,1400,4045,167,Obscured Name,kymdray,9350
2009-06-16 13:07:54+00:00,3358,639,1399,316,97,Obscured Name,dankefish,1083
2012-08-13 09:40:20+00:00,2204,23597,1385,1122,151,Obscured Name,M157q,53381
2009-06-27 04:58:21+00:00,3347,12849,1376,4997,310,Obscured Name,tiagoooliveira,71096
2011-01-04 23:14:18+00:00,2791,7609,1370,3203,174,Obscured Name,EricSchles,7801
2012-08-25 01:04:10+00:00,2192,2590,1367,3543,153,Obscured Name,ArenMatta,1698
2010-05-05 14:22:55+00:00,3035,1723,1363,1467,21,Obscured Name,SantoshGhimire,2314
2008-06-20 00:09:00+00:00,3719,4111,1361,707,88,Obscured Name,betswaliszewski,6147
2011-07-27 14:10:48+00:00,2587,2066,1337,1030,103,Obscured Name,EdwardPerello,2224
2009-12-01 22:36:53+00:00,3190,18507,1336,2152,514,Obscured Name,TFConsult,9049
2013-09-08 07:59:43+00:00,1813,524,1335,1699,5,Obscured Name,PaulodeWhizkid,3022
2009-05-06 18:54:32+00:00,3399,1,1332,1431,80,Obscured Name,andrew_clegg,4361
2011-12-12 11:14:44+00:00,2449,821,1328,2182,109,Obscured Name,scultrera,937
2013-12-26 18:04:39+00:00,1704,675,1318,2180,51,Obscured Name,chaignc,1495
2015-10-27 15:34:32+00:00,1034,17323,1318,912,79,Obscured Name,astrojuanlu,9378
2008-07-02 18:33:07+00:00,3707,2344,1315,3180,79,Obscured Name,loisrp,3697
2011-07-04 17:20:04+00:00,2610,1824,1302,2301,47,Obscured Name,ixek,6090
2011-02-02 21:54:39+00:00,2762,2323,1286,2506,70,Obscured Name,arokem,2200
2010-06-30 12:11:11+00:00,2979,1838,1283,1975,145,Obscured Name,DavidMartinB,12549
2015-09-22 11:11:20+00:00,1069,2572,1283,2044,84,Obscured Name,scigeist,5602
2017-02-08 21:27:03+00:00,564,83,1282,4959,29,Obscured Name,envision_ai,80
2016-09-30 14:02:50+00:00,695,1042,1281,1194,98,Obscured Name,Case_Crunch,1638
2008-12-22 03:06:20+00:00,3534,87005,1280,1604,73,Obscured Name,badgermind,4601
2010-04-24 14:33:16+00:00,3046,1413,1265,556,133,Obscured Name,_akisato,17288
2017-05-11 22:02:25+00:00,472,96,1243,459,33,Obscured Name,HoloViews,49
2011-08-11 16:29:21+00:00,2572,122,1238,896,63,Obscured Name,PythonHPC,362
2014-03-29 06:25:03+00:00,1611,51881,1236,3407,81,Obscured Name,juanshishido,3983
2013-06-21 22:50:58+00:00,1892,5160,1230,1129,51,Obscured Name,DavidPSanders,1273
2008-02-08 16:30:47+00:00,3852,954,1229,2151,156,Obscured Name,arnaudsj,8260
2008-12-16 02:36:15+00:00,3540,1756,1229,1406,114,Obscured Name,olexandr,4690
2012-07-22 10:04:54+00:00,2226,73,1221,535,56,Obscured Name,OpenTechCal,2707
2011-07-05 15:07:49+00:00,2609,207,1220,184,11,Obscured Name,DEMCON,940
2012-04-18 22:50:15+00:00,2321,462,1212,283,62,Obscured Name,jreback,629
2010-12-12 22:52:54+00:00,2814,1054,1205,1885,18,Obscured Name,beybigiller,88089
2012-09-05 07:58:25+00:00,2181,642,1194,1314,42,Obscured Name,sdwfrost,1519
2008-04-01 15:01:43+00:00,3799,629,1187,780,140,Obscured Name,peterhoffmann,3307
2011-01-03 10:38:15+00:00,2792,5392,1186,1262,115,Obscured Name,ramseyselim,8094
